Identifier,Name,Symbol,Region,Country,Sector,Market Cap $US,Cap Tier,Current Price
S1,1&1 DRILLISCH AG NPV,DRHKF,Western Europe,Germany,Communication Services,"4,200,000,000.00",Large,100.5
S2,1ST PACIFIC CO USD0.01,,Asia Pacific ex Japan,Hong Kong,Financials,"1,200,000,000.00",Mid,107.15
S3,2G ENERGY AG NPV,,Western Europe,Germany,Industrials,"371,400,000.00",Small,75.78
S4,3I GROUP ORD GBP0.738636,,Western Europe,United Kingdom,Financials,"13,600,000,000.00",Large,96.46
S5,4IMPRINT GROUP ORD GBX38.461538,FRRFF,Western Europe,United Kingdom,Communication Services,"718,300,000.00",Small,102.9
S6,77TH BANK NPV,,Japan,Japan,Financials,"1,100,000,000.00",Mid,17
S7,888 HOLDINGS ORD GBP0.005,,Western Europe,United Kingdom,Consumer Discretionary,"1,300,000,000.00",Mid,61.67
S8,A G F MANAGEMENT LTD CL B NON VTG,AGFMF,Canada,Canada,Financials,"356,300,000.00",Small,35.08
S9,A.P. MOLLER-MAERSK SER'B'DKK1000,,Western Europe,Denmark,Industrials,"31,800,000,000.00",Large,54.95
S10,A2A SPA EUR0.52,,Western Europe,Italy,Utilities,"4,500,000,000.00",Large,59.7
S11,AAK AB NPV,,Western Europe,Sweden,Consumer Staples,"5,200,000,000.00",Large,19.12
S12,AALBERTS NV EUR0.25,,Western Europe,Netherlands,Industrials,"4,400,000,000.00",Large,94.17
S13,AAREAL BANK AG NPV,AAALF,Western Europe,Germany,Financials,"1,300,000,000.00",Mid,80.83
S14,AB SCIENCE EUR0.01,,Western Europe,France,Health Care,"567,000,000.00",Small,107.61
S15,ABB LTD CHF0.12 (REGD),,Western Europe,Switzerland,Industrials,"57,600,000,000.00",Large,78.72
S16,ABC ARBITRAGE EUR0.016,,Western Europe,France,Financials,"503,800,000.00",Small,25.09
S17,ABC-MART INC NPV,,Japan,Japan,Consumer Discretionary,"4,300,000,000.00",Large,29.64
S18,ABOITIZ EQUITY VEN PHP1,ABOIF,Asia Pacific ex Japan,Philippines,Industrials,"5,100,000,000.00",Large,46.11
S19,ABOITIZ POWER CORP PHP1,,Asia Pacific ex Japan,Philippines,Utilities,"4,000,000,000.00",Large,76.05
S20,ABSOLUTE SOFTWARE CORP OC-SHS,ALSWF,Canada,Canada,Information Technology,"538,300,000.00",Small,44.8
S21,AC ENERGY PHILIPPI PHP1,ACPIF,Asia Pacific ex Japan,Philippines,Utilities,"880,300,000.00",Small,31.72
S22,AC IMMUNE SA SHS,,Western Europe,Switzerland,Health Care,"370,700,000.00",Small,39.53
S23,ACCELL GROUP EUR0.01,,Western Europe,Netherlands,Consumer Discretionary,"787,700,000.00",Small,49.15
S24,ACCIONA SA EUR1,ACXIF,Western Europe,Spain,Utilities,"6,300,000,000.00",Large,37.06
S25,ACCOR EUR3,,Western Europe,France,Consumer Discretionary,"7,800,000,000.00",Large,30.71
S26,ACCTON TECHNOLOGY TWD10,ACTZF,Asia Pacific ex Japan,Taiwan,Information Technology,"4,300,000,000.00",Large,27.29
S27,ACE HARDWARE INDON IDR10,ACEHF,Asia Pacific ex Japan,Indonesia,Consumer Discretionary,"1,800,000,000.00",Mid,8.73
